time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.01277439781e-08,2.920898823e-07,10.0009586614,0.000301389360637,6.58480740361e-05,0.0,-4.77644924198e-06,2.49947567991e-05,0.0319546697499,0.0135417399262,0.00320687127621,0.0,415.45152263266976,415.73253050567564,413.3101361021711,414.5016203762033
0.12000000000000001,-2.84164114123e-06,1.06425970307e-05,10.0049890659,0.000853114061431,0.000698445048979,0.0,-0.000131484963537,0.000388420420005,0.102387771572,-0.00134389090067,0.0222076018304,0.0,427.26287399376344,428.879357000604,427.4012216290266,426.13078992066363
0.18,-3.55238478136e-05,5.45422094983e-05,10.0181417988,0.000659928981276,0.00289310654981,0.0,-0.00118419392613,0.00105854651046,0.335996296569,-0.00726378248018,0.0558702462641,0.0,475.3957155671448,477.96811767293684,478.4236477758851,477.97284325588157
0.23999999999999996,-0.000191528466881,0.000131975239922,10.0448498735,6.28314714938,0.00607075604061,0.0,-0.00440677055487,0.00145698625452,0.554190588535,-0.0222476035673,0.0463963913443,0.0,473.7572067496589,473.02996523469193,473.3213025432205,472.1670433574289
0.3,-0.000578461750606,0.000214185965252,10.0790568155,6.28193768533,0.00856169294067,0.0,-0.00873554154966,0.00116672074078,0.586022997374,-0.0162755744458,0.0293300142388,0.0,416.01562286774003,414.5198224530053,414.55502905026697,415.0793670643376
0.36000000000000004,-0.00130623563265,0.000251370494992,10.1194760096,6.28067166005,0.0102845445825,0.0,-0.0157197377883,-5.12698913115e-05,0.761180772125,-0.0331108851315,0.0274534084988,0.0,460.5111713148851,460.36293027287513,461.26863386514026,459.9373923234922
0.4200000000000001,-0.00248203351107,0.000184907163174,10.169453297,6.2784627161,0.0119417510405,0.0,-0.0236516126166,-0.00238995730058,0.90462313301,-0.0455032002754,0.027951388741,0.0,451.1383936627164,451.1787741859307,451.5374208282594,450.5360840799278
0.48000000000000015,-0.00420863177796,-8.88520018994e-05,10.2311683605,6.27516040423,0.0136162031356,0.0,-0.0341066111943,-0.00708498357495,1.1523244844,-0.0925046299323,0.0278196962642,0.0,482.1522846043128,482.1424716150711,484.337807107512,480.7877951478371
0.5400000000000001,-0.00658567596468,-0.000728696645952,10.3063696198,6.26958213513,0.0155349687048,0.0,-0.0453365063544,-0.0148925559881,1.35415732717,-0.0939202022429,0.039215307971,0.0,468.7976692406026,469.6825124297402,469.7243430677786,469.60777046136593
0.6000000000000002,-0.00963113909232,-0.00191944792471,10.3903105067,6.26461134937,0.0180860677271,0.0,-0.0564243012993,-0.0253240557255,1.44375052837,-0.0668276415101,0.0484169907912,0.0,435.93319411390604,436.70235507790005,433.49234186872116,435.7566544367619
0.6600000000000003,-0.0135100747505,-0.0039506597901,10.4857698695,6.26020791007,0.0208661933934,0.0,-0.0732382705846,-0.0429182297558,1.73781014485,-0.0916360948298,0.0418098939675,0.0,497.0735127977214,496.5901580274242,497.56019224201236,495.7369671870038
0.7200000000000003,-0.0182852686781,-0.00695417228458,10.5902302676,6.25467639102,0.0231692233895,0.0,-0.0861478235642,-0.0576845508564,1.74417554907,-0.0933267541413,0.0304601434061,0.0,409.4696151724614,408.45959469281877,409.7016285865324,409.54333631076963
0.7800000000000004,-0.0239227717421,-0.0110039465304,10.6971402516,6.24898814826,0.0250466624384,0.0,-0.101948635131,-0.0778590518966,1.8193508181,-0.0979331331395,0.0329016832305,0.0,431.4045633231161,431.61103167593444,432.9408713274244,432.54523384116135
0.8400000000000004,-0.0306465397706,-0.0165177068891,10.8125016946,6.24308063312,0.0268943565399,0.0,-0.122393982453,-0.106614138743,2.02565454191,-0.0995299073534,0.0262088434354,0.0,472.55340382612945,472.0374985409731,473.34734860673495,473.2167805577384
0.9000000000000005,-0.0384612318805,-0.0236281064308,10.933686433,6.23705779393,0.0283199505083,0.0,-0.138225263967,-0.130912336999,2.0138294903,-0.102137397271,0.0183476770599,0.0,404.19605391759626,403.487126717354,404.91522017019486,404.67080045360046
0.9600000000000005,-0.0473606932588,-0.0324851739981,11.058065351,6.23151608825,0.0292661236279,0.0,-0.158525588928,-0.164918581678,2.13188477152,-0.077770486996,0.0100381558501,0.0,446.79578743970336,446.1177495021006,446.30785049788756,448.2846519103437
1.0200000000000005,-0.0574960403184,-0.043494600868,11.1895082568,6.22660677996,0.0297509258224,0.0,-0.179370461742,-0.202549617663,2.24928761845,-0.0914862647006,0.0038439750796,0.0,447.60967758430706,447.10521602887536,447.6133477903407,446.49032759450756
1.0800000000000005,-0.068743115134,-0.0565832941315,11.3230306417,6.22080375623,0.0300044177725,0.0,-0.195554901469,-0.234196060833,2.20151963791,-0.110036545897,0.00497600409496,0.0,392.70318663836946,392.8080998420798,393.97114282079417,392.242669712695
1.1400000000000006,-0.0811174207683,-0.0719887565021,11.4587119122,6.21418719521,0.0304142508648,0.0,-0.216952977116,-0.279997664758,2.32089956476,-0.110758879017,0.0103032661366,0.0,448.2985851434913,448.731122407187,448.08067627433627,448.01130668653724
1.2000000000000006,-0.0946932026961,-0.0900703441802,11.5985241754,6.20701964415,0.0310804416817,0.0,-0.235630575787,-0.323329897289,2.33941638604,-0.149056474487,0.0126568319535,0.0,416.8363171776024,417.0418214996538,417.4193189179075,414.0486254403071
1.2600000000000007,-0.109431081369,-0.110961302647,11.7403464442,6.19839512526,0.0319873490063,0.0,-0.2557088409,-0.373855078049,2.38781135526,-0.134814619393,0.0196266770429,0.0,426.20964837031016,426.80481823236556,425.8574713187158,427.0535122037809
